"page_id","title","slug","carrier_class","source_url","natural_dimensions","source_sha256","visual_fingerprint_type","visual_fingerprint_sha256","viewport","captured_on","limitations"
"P005","Loop","loop","key carrier","https://lettersfortitles.com/wp-content/uploads/2021/11/Loop.lettersfortitles-verntonkin-1080x800.jpg","1080x800","","browser-rendered viewport JPEG SHA-256","a556ec1eb710fdcc330809001746dbd195fe8a47809da0b8f0b0405a560360e3","1363x936","2026-08-30 UTC","Visual fingerprint hashes a browser screenshot, not the served source bytes."
"P037","Battle","battle","ordered inscription","https://lettersfortitles.com/wp-content/uploads/2023/02/Battle-LettersforTitles-Vern-Tonkin.jpg","1620x1608","","browser-rendered viewport JPEG SHA-256","bf6736a84bb1fe6b7cc78f61ded75f24026597a8f078d33dca5d9959a9fbcec3","1363x936","2026-08-30 UTC","Visual fingerprint hashes a browser screenshot, not the served source bytes."
"P046","Always","always","ordered inscription","https://lettersfortitles.com/wp-content/uploads/2023/02/always.lettersfortitles.verntonkin-scaled.jpg","2164x2560","","browser-rendered viewport JPEG SHA-256","53841457f3ca873e195b89116fea465769893a1a6d4a6f3eae4399459629ae0a","1363x936","2026-08-30 UTC","Visual fingerprint hashes a browser screenshot, not the served source bytes."
"P055","It Never Deceives","it-never-deceives","ordered inscription","https://lettersfortitles.com/wp-content/uploads/2023/01/It-never-deceives-lettersfortitles-vern-tonkin.jpg","2450x1860","","browser-rendered viewport JPEG SHA-256","7b6db250422c793b88b1869401926325d76a23c0c1ec392e890f0c3932f85aef","1363x936","2026-08-30 UTC","Visual fingerprint hashes a browser screenshot, not the served source bytes."
"P072","Bright Fruits","bright-fruits","ordered inscription","https://lettersfortitles.com/wp-content/uploads/2021/09/Bright-fruits-lettersfortitles-vern-tonkin-scaled.jpg","2098x2560","","browser-rendered viewport JPEG SHA-256","dc9637cb3d608232f1089427348148c4f1e7abc99c9e3748c01537e6bd077b45","1363x936","2026-08-30 UTC","Visual fingerprint hashes a browser screenshot, not the served source bytes."
"P088","Friþ","frith","ordered inscription","https://lettersfortitles.com/wp-content/uploads/2021/09/Frith-verntonkin-lettersfortitles-1-1-scaled.jpg","1544x2560","","browser-rendered viewport JPEG SHA-256","c7eb0a5ff87ce9c902c460e45f2d0a728e9a039891694eae6d816f82d849bfdd","1363x936","2026-08-30 UTC","Visual fingerprint hashes a browser screenshot, not the served source bytes."
"P109","You Knew it Beforehand","you-knew-it-beforehand","question-and-rebus","https://lettersfortitles.com/wp-content/uploads/2022/11/You-knew-it-beforehand-lettersfortitles-vern-tonkin.jpg","1749x2176","","browser-rendered viewport JPEG SHA-256","2b02cba6582e08756a66a387a5f335fd14473101e249957bd918ffb75f7706ce","1363x936","2026-08-30 UTC","Visual fingerprint hashes a browser screenshot, not the served source bytes."
"P125","Soon After it Becomes Water","soon-after-it-becomes-water","ordered inscription","https://lettersfortitles.com/wp-content/uploads/2022/10/soon-after-it-becomes-water-letters-for-titles-vern-tonkin.jpg","2004x1463","","browser-rendered viewport JPEG SHA-256","06f82dccff0ca5f6d8a0714280a4a5a84e5172d392f31f567b923a82b5934cb3","1363x936","2026-08-30 UTC","Visual fingerprint hashes a browser screenshot, not the served source bytes."
"P161","Œ is for Œdipean Riddle","oe-is-for-oedipean-riddle","ordered inscription","https://lettersfortitles.com/wp-content/uploads/2022/09/OE-is-for-OEdipean-Riddle-VernTonkin-Letters-for-Titles-1080x1080.jpg","1080x1080","","browser-rendered viewport JPEG SHA-256","302e28b0d917c1afc9f73c3eb1bf15732fe4a4120995f9f8c65f41d4d1f6cf5c","1363x936","2026-08-30 UTC","Visual fingerprint hashes a browser screenshot, not the served source bytes."
"P156","Present","present","ordered inscription","https://lettersfortitles.com/wp-content/uploads/2022/09/present-letters-for-titles-verntonkin.jpg","1612x1899","c2e1c1abd6af4d4fe61dcd54456a07bb3b2325dc0cec710710df721e67f63f56","browser-rendered viewport JPEG SHA-256","4ec626d3ed6893894d21bd897d851af1443bf376c306ccaa35bc1faf089730e8","1363x936","2026-08-30 UTC","Source SHA-256 hashes retained exact served bytes; visual fingerprint separately hashes a browser screenshot."
